kernel_index,duration_ns,ilp,threads/block,sample_run
0,193450000,1,32,experiment
1,100070000,2,32,experiment
2,53272000,4,32,experiment
3,33357999,8,32,experiment
4,96780000,1,64,experiment
5,49933000,2,64,experiment
6,26506000,4,64,experiment
7,16782000,8,64,experiment
8,64840999,1,96,experiment
9,33317000,2,96,experiment
10,17831000,4,96,experiment
11,11205000,8,96,experiment
12,48236000,1,128,experiment
13,25078000,2,128,experiment
14,13387000,4,128,experiment
15,8411800,8,128,experiment
16,38983000,1,160,experiment
17,20101000,2,160,experiment
18,10720000,4,160,experiment
19,6684600,8,160,experiment
20,32360000,1,192,experiment
21,16745000,2,192,experiment
22,8951400,4,192,experiment
23,5596600,8,192,experiment
24,27859000,1,224,experiment
25,14392000,2,224,experiment
26,7700300,4,224,experiment
27,4870700,8,224,experiment
28,24168000,1,256,experiment
29,12570000,2,256,experiment
30,6740900,4,256,experiment
31,4317800,8,256,experiment
32,21679000,1,288,experiment
33,11223000,2,288,experiment
34,6039900,4,288,experiment
35,4010799,8,288,experiment
36,19418000,1,320,experiment
37,10096000,2,320,experiment
38,5438100,4,320,experiment
39,3888100,8,320,experiment
40,17736000,1,352,experiment
41,9209000,2,352,experiment
42,4990300,4,352,experiment
43,3686100,8,352,experiment
44,16184999,1,384,experiment
45,8433800,2,384,experiment
46,4583500,4,384,experiment
47,3790400,8,384,experiment
48,15034000,1,416,experiment
49,7831800,2,416,experiment
50,4279600,4,416,experiment
51,3585200,8,416,experiment
52,13937000,1,448,experiment
53,7254400,2,448,experiment
54,3996600,4,448,experiment
55,3694600,8,448,experiment
56,13053000,1,480,experiment
57,6800400,2,480,experiment
58,3814000,4,480,experiment
59,3519000,8,480,experiment
60,12235000,1,512,experiment
61,6370300,2,512,experiment
62,3612900,4,512,experiment
63,3566700,8,512,experiment
64,11551000,1,544,experiment
65,6025100,2,544,experiment
66,3595700,4,544,experiment
67,3558800,8,544,experiment
68,10917000,1,576,experiment
69,5691000,2,576,experiment
70,3529500,4,576,experiment
71,3565600,8,576,experiment
72,10346000,1,608,experiment
73,5417300,2,608,experiment
74,3605700,4,608,experiment
75,3490900,8,608,experiment
76,9852000,1,640,experiment
77,5169200,2,640,experiment
78,3540600,4,640,experiment
79,3490100,8,640,experiment
80,9358100,1,672,experiment
81,4949400,2,672,experiment
82,3602700,4,672,experiment
83,3483800,8,672,experiment
84,8948400,1,704,experiment
85,4747000,2,704,experiment
86,3525100,4,704,experiment
87,3519400,8,704,experiment
88,8575300,1,736,experiment
89,4570600,2,736,experiment
90,3520200,4,736,experiment
91,3395400,8,736,experiment
92,8212600,1,768,experiment
93,4434900,2,768,experiment
94,3498600,4,768,experiment
95,3425100,8,768,experiment
96,7939500,1,800,experiment
97,4304600,2,800,experiment
98,3492900,4,800,experiment
99,3378000,8,800,experiment
100,7649800,1,832,experiment
101,4128800,2,832,experiment
102,3483100,4,832,experiment
103,3381000,8,832,experiment
104,7396400,1,864,experiment
105,4040100,2,864,experiment
106,3463600,4,864,experiment
107,3392800,8,864,experiment
108,7143700,1,896,experiment
109,3922600,2,896,experiment
110,3466000,4,896,experiment
111,3380800,8,896,experiment
112,6915700,1,928,experiment
113,3825900,2,928,experiment
114,3438000,4,928,experiment
115,3388600,8,928,experiment
116,6688900,1,960,experiment
117,3765000,2,960,experiment
118,3449800,4,960,experiment
119,3402400,8,960,experiment
120,6479700,1,992,experiment
121,3714500,2,992,experiment
122,3419300,4,992,experiment
123,3386400,8,992,experiment
124,6285200,1,1024,experiment
125,3647200,2,1024,experiment
126,3432200,4,1024,experiment
127,3392400,8,1024,experiment
